c0_corrected,c0_error,phi,v_obs,v_bar,radius_kpc,g_obs,g_N
51.91304764135806,,0.24213220070486494,52.2,40.974515250335784,9.59,9.207176680720968e-12,5.673004391996685e-12
30.078447432865893,16.658948975248716,0.7792611265233995,127.0,58.26059474464709,8.37,6.244333100269379e-11,1.314100098258525e-11
32.32220951721392,17.33169135835862,0.7578890223474397,130.0,60.92511140736634,9.24,5.926780068063283e-11,1.3017415615276922e-11
33.94161134289594,17.709420954350236,0.7464818447539346,133.0,63.04616800409046,10.13,5.6584556309134837e-11,1.2714872887075918e-11
38.200744660361096,18.51201260178667,0.7235396847416684,142.0,68.87459400969271,13.23,4.9387941249805886e-11,1.1618828405561113e-11
83.61338085376153,1983.0543995488727,0.031228359294391352,21.9,21.226667190117247,1.18,1.317074376352472e-11,1.2373304260904909e-11
46.71775081201291,183.80940168498864,0.1512500221254955,32.3,27.76613765002255,1.8,1.8781774321307693e-11,1.3879138762871746e-11
37.92155398890684,91.57943834859678,0.24044879942116926,37.9,29.79981879139536,2.03,2.292907106302418e-11,1.4175398829610287e-11
34.351132002789875,46.97115427654384,0.376804398331726,53.1,36.42926845271532,2.78,3.2866111517785126e-11,1.546892673806515e-11
34.03398953906389,33.973824979840664,0.4699284515067079,68.0,42.50319517401015,3.64,4.116427966071518e-11,1.6082214609758353e-11
33.105823677899345,28.21718901799171,0.5338274899556359,78.0,45.735798888835426,4.19,4.7052127012901434e-11,1.61771716753001e-11
32.583279009099975,26.21220978439815,0.5616278075626299,82.3,46.93404414707942,4.6,4.7714009974921813e-11,1.551751599087041e-11
32.4949693056518,25.07193568078314,0.5791177033709678,85.7,48.025644191410905,5.14,4.6302304117250994e-11,1.4540768400533598e-11
34.15000418930353,26.45443896936936,0.5580785370362534,85.5,48.93230630166536,5.39,4.394885273970544e-11,1.4394834773595997e-11
38.05413413719424,28.271145541617894,0.5331260804740303,89.5,52.515719551387654,6.31,4.113587974113449e-11,1.4162938191289737e-11
44.23689573530838,31.185187137348688,0.498358163405421,95.2,57.83659913929933,9.1,3.2272795254000696e-11,1.1911547363848077e-11
46.827077962395464,32.38235051019477,0.4856397637459903,97.5,59.992083644427616,10.17,3.028951760448271e-11,1.1467559906731385e-11
47.48978015374916,31.605846770480614,0.4937951888817689,101.0,61.64088253748481,11.99,2.7569420834060787e-11,1.0268868472701112e-11
44.00317285575905,27.280284340652088,0.5463836599017148,107.0,61.95728367189769,14.02,2.6462058183707564e-11,8.87239366408325e-12
39.71481561384476,22.46606715092307,0.6246833156995535,117.0,62.64542281763289,15.94,2.7828351782567648e-11,7.978007694115408e-12
38.28088006169332,21.177452981288983,0.6506880739033554,120.0,62.60240330849927,17.98,2.5952361556766825e-11,7.063117044429723e-12
