galaxy,n_points,r_min,r_max,c0_mean,c0_median,c0_std,c0_error_mean,phi_mean,regime
NGC4138,4,10.65,18.58,172.88636142131634,170.59982507211834,56.37305755138666,,0.22855171247565687,Non-saturated (Slope)
NGC4157,6,20.9,29.61,199.11704219442663,185.43438361895056,52.40803833232073,,0.23539761078642574,Non-saturated (Slope)
NGC4183,23,0.87,21.02,70.50923960998395,66.8700415952373,19.50503541838731,31.600789099010054,0.3680516514255379,Saturated (Plateau)
NGC4214,6,0.63,2.71,73.79461269543586,75.43031261962821,29.21144554363244,59.660354518030736,0.2805715827753867,Saturated (Plateau)
NGC4559,18,9.84,20.97,114.69737403214084,94.61142081342825,42.100706652770455,33.13003957174445,0.28082500251152204,Saturated (Plateau)
NGC5033,14,14.91,44.59,145.35960070300476,127.67938259865463,52.934687518044555,75.04567600482373,0.37598610929072,Saturated (Plateau)
NGC5055,10,28.74,54.59,163.72700504675737,146.08234203674044,51.778269366295675,75.94446421841657,0.2859907084271905,Saturated (Plateau)
NGC5585,13,2.74,10.96,52.93940427180035,41.935495676449676,24.257544558019237,15.734580929902307,0.43670131185822775,Saturated (Plateau)
NGC5907,11,5.03,50.33,196.0509286864766,192.99781752005646,56.04931218701244,128.03143875295524,0.2880741419199678,Saturated (Plateau)
NGC5985,33,3.54,34.72,219.38863962636182,214.9087725496165,46.90888318733066,57.15138546199266,0.3288289423571114,Saturated (Plateau)
NGC6015,32,1.0,29.23,121.45743071871404,100.24750289364644,63.51731174885003,101.45858268396776,0.3663897302848532,Saturated (Plateau)
NGC6503,26,0.76,22.76,81.26512472404782,56.229935422645866,61.32826143393028,49.26565769709295,0.4463937711304601,Saturated (Plateau)
NGC6674,11,22.47,72.41,151.88305192743513,133.7856628265987,69.7578526358855,100.67441665246142,0.4391399288267044,Saturated (Plateau)
NGC6946,11,16.84,20.4,226.50749405290938,212.19570176045167,34.87722665939763,132.94078416718665,0.156841562360089,Non-saturated (Slope)
NGC7331,5,32.06,36.31,257.19051789225625,258.9453309120345,26.829598297647046,87.67081077054303,0.22241262763662378,Non-saturated (Slope)
NGC7793,15,0.42,7.87,149.4547054485097,133.2012629587658,50.40155837064838,335.48828790784046,0.1706367283087929,Non-saturated (Slope)
NGC7814,10,9.5,19.53,175.5165240383691,159.29016470666232,59.183466071495936,96.8759628581639,0.32643438708296324,Saturated (Plateau)
UGC00128,14,1.25,36.23,36.028022312224316,36.164642320305504,4.848434250481658,13.276837338615737,0.6484914755770106,Dwarf (Valley)
UGC00191,6,0.87,9.98,35.81263474566074,36.08469405044622,4.201611703477616,,0.4103881134550349,Saturated (Plateau)
UGC00634,2,4.51,9.01,38.97641842612069,38.97641842612069,5.771954193160219,,0.501929678613814,Saturated (Plateau)
UGC01230,9,2.35,32.01,38.01265581216573,39.162222497852305,4.936532428533251,8.431951993050982,0.5730747788038524,Dwarf (Valley)
